name,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,pr_count,distance_km,pace_min_km
Carrera de noche,2024-02-26 18:56:59+00:00,4014.6,1622,1632,31.3,2.475,3.384,154.6,172.0,1,4.0146,6.734020202020202
Carrera de tarde,2024-02-12 17:57:07+00:00,4024.9,1576,1601,43.4,2.554,6.353,165.5,188.0,5,4.0249,6.525724353954581
Carrera de noche,2024-01-25 18:47:58+00:00,4019.9,1716,1716,40.3,2.343,3.13,152.0,162.0,0,4.0199,7.113401621852326
Carrera de noche,2024-01-23 18:34:17+00:00,3402.0,1383,1386,29.5,2.46,3.424,162.2,175.0,1,3.402,6.7750813008130075
Carrera de noche,2024-01-16 18:52:56+00:00,3252.8,1535,1588,62.5,2.119,6.906,167.2,188.0,0,3.2528,7.865361019348748
Carrera con gemelo travieso,2023-12-24 11:35:06+00:00,1769.3,693,723,0.0,2.553,3.774,150.0,164.0,0,1.7692999999999999,6.528280454367411
Carrera de tarde,2023-12-18 17:36:51+00:00,4376.5,1707,1717,36.1,2.564,3.549,167.5,181.0,0,4.3765,6.500273010920436
Carrera de noche,2023-12-11 18:29:30+00:00,3458.6,1642,2135,64.0,2.106,5.94,153.8,178.0,0,3.4586,7.913912630579297
Carrera de noche,2023-12-04 18:42:35+00:00,3112.9,1239,1252,36.8,2.512,3.462,144.8,178.0,0,3.1129000000000002,6.63483280254777
Carrera de noche,2022-11-09 20:32:57+00:00,1470.6,546,889,22.9,2.693,4.381,145.5,167.0,0,1.4706,6.188897140735239
Carrera de noche,2022-01-28 18:03:25+00:00,2949.6,1148,1203,16.5,2.569,5.119,165.7,191.0,0,2.9495999999999998,6.487621642662514
Carrera de tarde,2022-01-21 17:56:47+00:00,3830.0,1483,1522,30.8,2.583,3.859,169.3,178.0,0,3.83,6.452458381726673
Carrera de tarde,2021-11-19 17:38:39+00:00,2613.5,1018,1041,34.4,2.567,4.649,156.5,171.0,1,2.6135,6.492676275808336
Carrera de noche,2021-10-25 18:43:10+00:00,1647.1,605,605,20.1,2.722,4.136,159.0,171.0,0,1.6471,6.122961058045554
Carrera de noche,2021-10-15 18:07:40+00:00,2563.0,899,899,17.2,2.851,4.4,150.7,173.0,4,2.563,5.845913714486144
Carrera de noche,2021-09-19 19:43:05+00:00,4095.1,1542,1551,31.7,2.656,4.2,157.4,175.0,4,4.0950999999999995,6.275112951807228
Carrera de noche,2021-08-01 20:46:45+00:00,2828.8,1021,1026,15.5,2.771,5.2,163.7,181.0,2,2.8288,6.014687838325514
Carrera de noche,2021-07-06 19:14:35+00:00,3610.5,1417,1553,24.5,2.548,6.8,135.8,175.0,5,3.6105,6.541091051805337
Carrera de noche,2021-03-11 20:21:51+00:00,3244.6,1244,1253,26.9,2.608,4.7,147.9,148.0,0,3.2445999999999997,6.390605828220858
